number,title,authors,source_venue,track,openreview_submission_number,decision,archival_status,paper_type,aclpubcheck_status,aclpubcheck_summary,openreview_url,pdf_path,supplementary_files,aclpubcheck_pdf_sha256,checked_at_utc
001,MedReason: Eliciting Factual Medical Reasoning Steps in LLMs via Knowledge Graphs,Juncheng Wu; Wenlong Deng; Xingxuan Li; Sheng Liu; Taomian Mi; Yifan Peng; Ziyang Xu; Yi Liu; Hyunjin Cho; Chang-In Choi; Yihan Cao; Hui Ren; Xiang Li; Xiaoxiao Li; Yuyin Zhou,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,2,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=S27mV5JKUx,all_papers/001/paper.pdf,,,
002,AAgiSphere-CORE: A Multi-Dimensional Co-Optimization Framework for Autonomous Prescriptive Maintenance in Smart Manufacturing,Pinghao Luo; Zhiguo Tao,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,3,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=INfALI5FPO,all_papers/002/paper.pdf,,,
003,"MSRA: A Parameter-Efficient Spectral Correction for Local Attention — Where It Helps, and Where It Fails",TianZihan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,4,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=CQ482Y2xBa,all_papers/003/paper.pdf,all_papers/003/supplementary/Supplementary_material.zip,,
004,Trust-Aware Multi-Axis Reliability Auditing for NLP Classifiers: A Theoretical and Empirical Framework,Noor Islam S. Mohammad,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,6,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=hQIS26bkLh,all_papers/004/paper.pdf,all_papers/004/supplementary/Supplementary_material.pdf,,
005,VERITYGATE: A Four-Gate Schema-Level Faithfulness Framework and Paired Benchmark for Grounded LLM Narrations over Structured Evidence,Sachin Gupta,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,7,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=n9B8kcEZzP,all_papers/005/paper.pdf,all_papers/005/supplementary/Supplementary_material.zip,,
006,EVO-RAG: Evolving Retrieval-Augmented Agents for Efficient Multi-Hop Query Optimization,Yuelyu Ji; Rui Meng; Zhuochun Li; Daqing He,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,8,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=E4YVoT3IuI,all_papers/006/paper.pdf,,,
007,Retrieval–Reasoning Processes for Multi-hop Question Answering: A Four-Axis Design Framework and Empirical Trends,Yuelyu Ji; Zhuochun Li; Rui Meng; Daqing He,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,9,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=qehXtMNcr0,all_papers/007/paper.pdf,,,
008,Do Language Models Honor Their Own Definitions? Measuring Definition–Application Consistency,R S Pavithra,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,10,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=47QayY5613,all_papers/008/paper.pdf,,,
009,SkillNav: A Multi-Agent Blackboard for Hallucination-Resistant Zero-Shot Object Navigation,Zhi Yang; Chengpu Yu; Yipin Zheng,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,11,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=PE0s60Ul78,all_papers/009/paper.pdf,all_papers/009/supplementary/Supplementary_material.zip,,
010,Riemannian Geometry for Pre-trained Language Model Embeddings,Szczepan Konior; Alexandre Quemy; Przemysław Klocek; Bartlomiej Sobieski; Grégoire Cattan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,13,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=afqK8YeXQ7,all_papers/010/paper.pdf,,,
011,Trust but Verify: Introducing DAVinCI - A Framework for Dual Attribution and Verification in Claim Inference for Language Models,Vipula Rawte; Ryan A. Rossi; Franck Dernoncourt; Nedim Lipka,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,15,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=yjeiiI2x8E,all_papers/011/paper.pdf,,,
012,Semi-Supervised Learning to Improve Detection of Factual and Causal Errors in Language Models' Explanations,Mingxuan Liu; Han Yuan; Yilin Wu; Li Zhang; Zheng Ma,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,20,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=4rhIRDwDXw,all_papers/012/paper.pdf,,,
013,Is Safety Grounded or Detachable? Removal-Cost Audits for Open-Weight Language Models,Nedim Mutlu Sezer; Ömer Faruk Aksoy; Feyzi Arda Salihoğlu; Yağız Ekrem Dalar; Ahmet Rıfat Öztürk,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,22,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=eNKpgD8WPe,all_papers/013/paper.pdf,all_papers/013/supplementary/Supplementary_material.zip,,
014,CacheWeaver: Cache-Aware Evidence Ordering for Efficient Grounded RAG Inference,Kaizhen Tan; Rong Gu; Mingyuan Li,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,23,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=JsYPmfhF18,all_papers/014/paper.pdf,,,
015,Grounding or Lexical Overlap? A Matched-Pair Study of Internals-Based Faithfulness Probes,Kun Zhang,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,24,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=6bM2F8stxF,all_papers/015/paper.pdf,all_papers/015/supplementary/Supplementary_material.zip,,
016,PARSE: Provenance-Aware Retrieval Sanitization for Professional Domain LLM Agents,Aaditya Pai,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,26,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=42tjFm36EF,all_papers/016/paper.pdf,,,
017,Does Quantization Erode Grounding? A Faithfulness Audit of On-Device LLM Compression,Neeraj Sai Venkat Movva; Sathvik Loke,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,27,Findings,archival,short,pending,Not run,https://openreview.net/forum?id=5UGOGlapVv,all_papers/017/paper.pdf,,,
018,The Citation-Faithfulness Illusion: Measuring Whether Grounded Answers Preserve Source Disagreement,Rob Sneiderman,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,29,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=rUGOJeJp6N,all_papers/018/paper.pdf,,,
019,"Lifecycle Faithfulness for Grounded Retrieval-Augmented Generation: Benchmarks, Evaluation, and the Vera-Life Controller",Zida Yang; Guquan You; Jiexin Zheng; Yijie Peng,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,30,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=ZWvGUxDC5l,all_papers/019/paper.pdf,all_papers/019/supplementary/Supplementary_material.zip,,
020,Do LLM Attribution Metrics Transfer? Auditing Retrieval-Augmented Generation Evaluation Across Datasets and Constructs,Tianyu Ding; Aditya Nannapaneni; Juan Pablo de la Cruz Weinstein,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,31,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=1zbPk6Z3sf,all_papers/020/paper.pdf,,,
021,EviScope: Paired Counterfactual Evidence Diagnostics for Faithful and Efficient Grounded Language Models,Suryadeep Singh Deswal,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,34,Findings,archival,short,pending,Not run,https://openreview.net/forum?id=4KQuJY53bC,all_papers/021/paper.pdf,all_papers/021/supplementary/Supplementary_material.zip,,
022,Does RAG Know When Retrieval Is Wrong? Diagnosing Context Compliance under Knowledge Conflict,Yihang Chen; Pin Qian; Su Wang; Sipeng Zhang; Huan Xu; Shuhuai Lin; Xinpeng Wei,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,35,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=2N9OSYS8Mv,all_papers/022/paper.pdf,,,
023,Self-Detect–Refine: Iterative Training Label Refinement Method for Clinical Note Generation,Gin-kyeng Lee; Serim Kim; Harin Jun,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,37,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=xhOfDy37a9,all_papers/023/paper.pdf,,,
024,Graph Evidence Is Not Text Evidence: Serialization Faithfulness as Structural Invariance in Graph-Grounded Language Models,Lifan Hu,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,39,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=vJAxWaAGiT,all_papers/024/paper.pdf,,,
025,CoSched-Cert: Faithful Multi-Turn Scheduling Dialogue via Solver-Verified Certificates,Zida Yang; Minhao Zou; Yijie Peng,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,42,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=9ZQNCw2f73,all_papers/025/paper.pdf,all_papers/025/supplementary/Supplementary_material.zip,,
026,The Citation Expansion Trap: Operating-Point Control for Fixed-Answer Multi-Hop RAG Citation Repair,Jiawei Li,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,43,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=VYsdN4dpBJ,all_papers/026/paper.pdf,all_papers/026/supplementary/Supplementary_material.zip,,
027,Staged Linguistic Seeding: Grounded Query Expansion for Verified-Unit QA in AI Contact Centers,Hyeonseop Yoon; Jeong-eun Park,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,45,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=MPWXKQf8gq,all_papers/027/paper.pdf,,,
028,Structured Pruning and Lightweight Adaptation of Foundation Models for Resource-Efficient Earth Observation,Aniket Ramchandra Munde; Kartheek Kumar Reddy Nareddy; Julia Niebling,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,47,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=ry7ST0K0TJ,all_papers/028/paper.pdf,,,
029,E-SENS: Exclusion-Sensitive Penalization for Negative-Constraint Retrieval,Yerang Kim; Jiyoon Myung; Joohyung Han,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,48,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=TT1OUClA2p,all_papers/029/paper.pdf,,,
030,"How Far Can You Get Without a GPU? A Systematic Benchmark of Lightweight Hallucination Detection Across Question Answering, Dialogue, and Summarisation",Kriti Faujdar; Smit Kadvani,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,51,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=nmhcSyNzJs,all_papers/030/paper.pdf,,,
031,Memory Makes the Difference: Evaluating How Different Memory Roles Shape Conversational Agents,Yuxin Wang; Paul Thomas; Zhiwei Yu; Yuan Gao; Saeed Hassanpour; Soroush Vosoughi; Robert Sim; Nick Craswell,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,52,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=q6THlzdjqH,all_papers/031/paper.pdf,,,
032,Relational Grounding Failures in Zero-Shot Cross-Lingual Dialogue Summarization with Small Language Models,Yunwoo Lee; Ziwa Li; Jennifer Huang,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,53,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=SnNYns5n60,all_papers/032/paper.pdf,,,
